S.No,FLIGHT,FLIGHT NUMBER,DEPARTURE TIME,ARRIVAL TIME,DESTINATION
1,Buddha Air,BHA 603,06:45,07:15,PKR
2,Buddha Air,BHA 451,07:15,08:15,KEP
3,Yeti Airlines,YT 145,07:25,07:50,LUA
4,Yeti Airlines,YT 891,07:30,08:05,BWA
5,Nepal Airlines,RA 205,08:00,09:40,DEL
6,Shree Airlines,S2A 221,08:00,08:55,DHI
7,Buddha Air,BHA 601,08:00,08:30,PKR
8,Yeti Airlines,YT 671,08:00,08:25,PKR
9,Buddha Air,BHA 703,08:00,08:35,BIR
10,Buddha Air,BHA 251,08:00,09:10,DHI
11,Buddha Air,BHA 133,08:00,09:05,SKH
12,Buddha Air,BHA 551,08:15,08:30,SIF
13,Yeti Airlines,YT 787,08:30,09:10,BIR
14,Yeti Airlines,YT 673,08:30,08:55,PKR
15,Yeti Airlines,YT 149,08:30,09:00,LUA
16,Shree Airlines,S2A 431,08:45,09:30,KEP
17,Buddha Air,BHA 851,08:50,09:25,BWA
18,Shree Airlines,S2A 821,09:00,09:25,BWA
19,Simrik Airlines,RMK 151,09:00,09:30,PKR
20,Buddha Air,BHA 351,09:00,09:20,BHR
21,Buddha Air,BHA 951,09:10,09:50,BDP
22,flydubai,FZ 572,09:15,12:50,DXB
23,Emirates / Operated by flydubai 572,EK 2356,09:15,12:50,DXB
24,Shree Airlines,S2A 731,09:15,09:45,BIR
25,Yeti Airlines,YT 135,09:30,09:50,BHR
